metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.28917,0.28325,0.17401,0.1135,1.11442,2.99427,1.7633,1,1741925091,,False,1,3a949_00003,2025-03-13_21-04-51,33.573160886764526,33.573160886764526,2998828,cscigpu,132.241.1.14,33.573160886764526,1
0.34372,0.57276,0.45454,0.29508,1.19571,2.4241,1.77541,2,1741925109,,False,2,3a949_00003,2025-03-13_21-05-09,18.50137233734131,52.074533224105835,2998828,cscigpu,132.241.1.14,52.074533224105835,2
0.49074,0.64377,0.57663,0.39243,1.1673,1.89739,1.81694,3,1741925127,,False,3,3a949_00003,2025-03-13_21-05-27,18.122523069381714,70.19705629348755,2998828,cscigpu,132.241.1.14,70.19705629348755,3
0.47625,0.67501,0.61322,0.42986,1.06923,1.77182,1.6825,4,1741925145,,False,4,3a949_00003,2025-03-13_21-05-45,18.27726411819458,88.47432041168213,2998828,cscigpu,132.241.1.14,88.47432041168213,4
0.72855,0.67444,0.71074,0.51635,1.08402,1.54793,1.67381,5,1741925163,,False,5,3a949_00003,2025-03-13_21-06-03,17.944080352783203,106.41840076446533,2998828,cscigpu,132.241.1.14,106.41840076446533,5
0.68148,0.74004,0.75631,0.55477,1.01967,1.25422,1.59925,6,1741925181,,False,6,3a949_00003,2025-03-13_21-06-21,17.722442626953125,124.14084339141846,2998828,cscigpu,132.241.1.14,124.14084339141846,6
0.6995,0.70946,0.76438,0.55307,1.08828,1.30994,1.63983,7,1741925199,,False,7,3a949_00003,2025-03-13_21-06-39,18.210752725601196,142.35159611701965,2998828,cscigpu,132.241.1.14,142.35159611701965,7
0.78662,0.77462,0.8213,0.57837,1.09816,1.17834,1.68672,8,1741925217,,False,8,3a949_00003,2025-03-13_21-06-57,17.671014547348022,160.02261066436768,2998828,cscigpu,132.241.1.14,160.02261066436768,8
0.79611,0.82325,0.85309,0.62129,1.06424,1.0492,1.61233,9,1741925235,,False,9,3a949_00003,2025-03-13_21-07-15,17.64232087135315,177.66493153572083,2998828,cscigpu,132.241.1.14,177.66493153572083,9
0.83203,0.78107,0.86066,0.63806,1.01468,1.04143,1.57929,10,1741925252,,False,10,3a949_00003,2025-03-13_21-07-32,17.633052349090576,195.2979838848114,2998828,cscigpu,132.241.1.14,195.2979838848114,10
0.85025,0.81432,0.88832,0.62825,1.10461,1.01742,1.66233,11,1741925270,,False,11,3a949_00003,2025-03-13_21-07-50,17.628291606903076,212.92627549171448,2998828,cscigpu,132.241.1.14,212.92627549171448,11
0.86352,0.808,0.88585,0.67166,0.95868,0.91757,1.49822,12,1741925288,,False,12,3a949_00003,2025-03-13_21-08-08,17.686341762542725,230.6126172542572,2998828,cscigpu,132.241.1.14,230.6126172542572,12
0.85207,0.80635,0.89334,0.64919,1.03244,0.98392,1.61602,13,1741925305,,False,13,3a949_00003,2025-03-13_21-08-25,17.704578161239624,248.31719541549683,2998828,cscigpu,132.241.1.14,248.31719541549683,13
0.86301,0.83769,0.908,0.67256,0.98401,0.8658,1.53147,14,1741925323,,False,14,3a949_00003,2025-03-13_21-08-43,17.72504186630249,266.0422372817993,2998828,cscigpu,132.241.1.14,266.0422372817993,14
0.8829,0.82417,0.89805,0.67905,0.96103,0.8907,1.51802,15,1741925341,,False,15,3a949_00003,2025-03-13_21-09-01,17.686509609222412,283.72874689102173,2998828,cscigpu,132.241.1.14,283.72874689102173,15
0.90883,0.79909,0.89545,0.66441,1.01136,0.85661,1.55321,16,1741925359,,False,16,3a949_00003,2025-03-13_21-09-19,17.72297239303589,301.4517192840576,2998828,cscigpu,132.241.1.14,301.4517192840576,16
0.88334,0.83783,0.90859,0.67738,1.02161,0.84927,1.57648,17,1741925376,,False,17,3a949_00003,2025-03-13_21-09-36,17.685147762298584,319.1368670463562,2998828,cscigpu,132.241.1.14,319.1368670463562,17
0.86917,0.86552,0.91112,0.69581,0.92202,0.82636,1.47921,18,1741925394,,False,18,3a949_00003,2025-03-13_21-09-54,17.748713493347168,336.88558053970337,2998828,cscigpu,132.241.1.14,336.88558053970337,18
0.90599,0.87423,0.93058,0.6836,1.00311,0.78149,1.55601,19,1741925412,,False,19,3a949_00003,2025-03-13_21-10-12,17.719670057296753,354.6052505970001,2998828,cscigpu,132.241.1.14,354.6052505970001,19
0.89922,0.84411,0.91548,0.66904,1.05499,0.81171,1.61874,20,1741925429,,False,20,3a949_00003,2025-03-13_21-10-29,17.59940814971924,372.20465874671936,2998828,cscigpu,132.241.1.14,372.20465874671936,20
0.91868,0.83898,0.91436,0.67925,1.02565,0.76339,1.56623,21,1741925447,,False,21,3a949_00003,2025-03-13_21-10-47,17.595020532608032,389.7996792793274,2998828,cscigpu,132.241.1.14,389.7996792793274,21
0.8930983276755711,0.9014626543546629,0.9356513223629151,0.742295640343178,,,,21,1741925456,,False,22,3a949_00003,2025-03-13_21-10-56,9.52225637435913,399.3219356536865,2998828,cscigpu,132.241.1.14,399.3219356536865,22
