metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.33154,0.22958,0.17183,0.11966,1.08696,2.87189,1.5797,1,1741925491,,False,1,3a949_00004,2025-03-13_21-11-31,27.012736082077026,27.012736082077026,3007593,cscigpu,132.241.1.14,27.012736082077026,1
0.40463,0.49138,0.4434,0.29905,1.12718,2.09364,1.58129,2,1741925505,,False,2,3a949_00004,2025-03-13_21-11-45,13.769073247909546,40.78180932998657,3007593,cscigpu,132.241.1.14,40.78180932998657,2
0.47589,0.6283,0.58693,0.4058,1.10863,1.73807,1.61091,3,1741925518,,False,3,3a949_00004,2025-03-13_21-11-58,13.48733139038086,54.26914072036743,3007593,cscigpu,132.241.1.14,54.26914072036743,3
0.57487,0.69674,0.67547,0.49206,1.02106,1.52023,1.46388,4,1741925532,,False,4,3a949_00004,2025-03-13_21-12-12,13.272556066513062,67.5416967868805,3007593,cscigpu,132.241.1.14,67.5416967868805,4
0.72357,0.71386,0.75383,0.55925,0.97819,1.29656,1.4267,5,1741925545,,False,5,3a949_00004,2025-03-13_21-12-25,13.454639196395874,80.99633598327637,3007593,cscigpu,132.241.1.14,80.99633598327637,5
0.68104,0.76116,0.78721,0.59307,0.97767,1.21357,1.42593,6,1741925558,,False,6,3a949_00004,2025-03-13_21-12-38,13.311325311660767,94.30766129493713,3007593,cscigpu,132.241.1.14,94.30766129493713,6
0.79006,0.76717,0.83895,0.61653,1.04629,1.06411,1.46922,7,1741925572,,False,7,3a949_00004,2025-03-13_21-12-52,13.312272310256958,107.61993360519409,3007593,cscigpu,132.241.1.14,107.61993360519409,7
0.79457,0.77766,0.8479,0.60297,1.13209,1.04196,1.56175,8,1741925585,,False,8,3a949_00004,2025-03-13_21-13-05,13.31531047821045,120.93524408340454,3007593,cscigpu,132.241.1.14,120.93524408340454,8
0.81635,0.78117,0.84971,0.59486,1.13489,1.0333,1.53612,9,1741925598,,False,9,3a949_00004,2025-03-13_21-13-18,13.339970111846924,134.27521419525146,3007593,cscigpu,132.241.1.14,134.27521419525146,9
0.7786,0.80206,0.86337,0.64953,0.99768,1.04221,1.4108,10,1741925612,,False,10,3a949_00004,2025-03-13_21-13-32,13.28722357749939,147.56243777275085,3007593,cscigpu,132.241.1.14,147.56243777275085,10
0.88794,0.79814,0.88795,0.677,0.93717,0.92452,1.3457,11,1741925625,,False,11,3a949_00004,2025-03-13_21-13-45,13.270685911178589,160.83312368392944,3007593,cscigpu,132.241.1.14,160.83312368392944,11
0.8336,0.82021,0.88156,0.67454,0.91581,0.91344,1.34922,12,1741925638,,False,12,3a949_00004,2025-03-13_21-13-58,13.305773735046387,174.13889741897583,3007593,cscigpu,132.241.1.14,174.13889741897583,12
0.84291,0.83167,0.88743,0.66276,1.01821,0.89072,1.41416,13,1741925652,,False,13,3a949_00004,2025-03-13_21-14-12,13.29801869392395,187.43691611289978,3007593,cscigpu,132.241.1.14,187.43691611289978,13
0.85786,0.84597,0.88908,0.65283,1.02869,0.8881,1.44801,14,1741925665,,False,14,3a949_00004,2025-03-13_21-14-25,13.289329528808594,200.72624564170837,3007593,cscigpu,132.241.1.14,200.72624564170837,14
0.8468862892786045,0.8365202428323677,0.887277217380649,0.6871213699007029,,,,14,1741925673,,False,15,3a949_00004,2025-03-13_21-14-33,8.643204927444458,209.36945056915283,3007593,cscigpu,132.241.1.14,209.36945056915283,15
