metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.04859,0.72963,0.09998,0.07725,0.99714,3.43624,1.20145,1,1741928338,,False,1,3a949_00014,2025-03-13_21-58-58,20.314924001693726,20.314924001693726,3073229,cscigpu,132.241.1.14,20.314924001693726,1
0.43578,0.29992,0.35657,0.26262,1.0173,2.51247,1.23431,2,1741928345,,False,2,3a949_00014,2025-03-13_21-59-05,7.576608180999756,27.89153218269348,3073229,cscigpu,132.241.1.14,27.89153218269348,2
0.41658,0.65856,0.56319,0.40688,1.05114,1.80881,1.24003,3,1741928353,,False,3,3a949_00014,2025-03-13_21-59-13,7.23351263999939,35.12504482269287,3073229,cscigpu,132.241.1.14,35.12504482269287,3
0.64265,0.63341,0.6904,0.50139,0.98991,1.49348,1.2074,4,1741928360,,False,4,3a949_00014,2025-03-13_21-59-20,7.287808418273926,42.4128532409668,3073229,cscigpu,132.241.1.14,42.4128532409668,4
0.69046,0.70903,0.76918,0.57457,0.96438,1.3135,1.16862,5,1741928367,,False,5,3a949_00014,2025-03-13_21-59-27,7.486974716186523,49.89982795715332,3073229,cscigpu,132.241.1.14,49.89982795715332,5
0.76418,0.74969,0.80987,0.62157,0.94926,1.09825,1.15102,6,1741928375,,False,6,3a949_00014,2025-03-13_21-59-35,7.2941834926605225,57.19401144981384,3073229,cscigpu,132.241.1.14,57.19401144981384,6
0.79016,0.75157,0.82474,0.61252,1.02861,1.18265,1.16304,7,1741928382,,False,7,3a949_00014,2025-03-13_21-59-42,7.312283039093018,64.50629448890686,3073229,cscigpu,132.241.1.14,64.50629448890686,7
0.80078,0.7738,0.83948,0.60217,1.11111,1.14926,1.23527,8,1741928389,,False,8,3a949_00014,2025-03-13_21-59-49,7.137235164642334,71.6435296535492,3073229,cscigpu,132.241.1.14,71.6435296535492,8
0.82157,0.80204,0.85778,0.61915,1.10495,1.01255,1.20136,9,1741928396,,False,9,3a949_00014,2025-03-13_21-59-56,7.086721420288086,78.73025107383728,3073229,cscigpu,132.241.1.14,78.73025107383728,9
0.85951,0.76839,0.85533,0.64575,1.02491,0.98729,1.17414,10,1741928403,,False,10,3a949_00014,2025-03-13_22-00-03,7.2408599853515625,85.97111105918884,3073229,cscigpu,132.241.1.14,85.97111105918884,10
0.84645,0.78522,0.86686,0.65403,0.98271,0.9563,1.1517,11,1741928411,,False,11,3a949_00014,2025-03-13_22-00-11,7.202615737915039,93.17372679710388,3073229,cscigpu,132.241.1.14,93.17372679710388,11
0.87488,0.82541,0.9085,0.681,0.99762,0.8659,1.16471,12,1741928418,,False,12,3a949_00014,2025-03-13_22-00-18,7.1115241050720215,100.2852509021759,3073229,cscigpu,132.241.1.14,100.2852509021759,12
0.83831,0.86801,0.90382,0.69303,0.93529,0.85154,1.12354,13,1741928425,,False,13,3a949_00014,2025-03-13_22-00-25,7.056181192398071,107.34143209457397,3073229,cscigpu,132.241.1.14,107.34143209457397,13
0.86762,0.8406,0.8947,0.66419,1.01516,0.87605,1.17247,14,1741928432,,False,14,3a949_00014,2025-03-13_22-00-32,7.283153772354126,114.6245858669281,3073229,cscigpu,132.241.1.14,114.6245858669281,14
0.83422,0.83129,0.91122,0.66826,1.02252,0.85521,1.17787,15,1741928439,,False,15,3a949_00014,2025-03-13_22-00-39,7.383236885070801,122.0078227519989,3073229,cscigpu,132.241.1.14,122.0078227519989,15
0.85953,0.84113,0.91224,0.68917,0.96389,0.84297,1.11595,16,1741928447,,False,16,3a949_00014,2025-03-13_22-00-47,7.5822272300720215,129.59004998207092,3073229,cscigpu,132.241.1.14,129.59004998207092,16
0.8323987234462815,0.866747357829655,0.9122374127330417,0.7141509659681291,,,,16,1741928455,,False,17,3a949_00014,2025-03-13_22-00-55,7.610163927078247,137.20021390914917,3073229,cscigpu,132.241.1.14,137.20021390914917,17
