metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.28917,0.28325,0.17401,0.1135,1.11442,2.99427,1.7633,1,1741924379,,False,1,3a949_00001,2025-03-13_20-52-59,33.87869191169739,33.87869191169739,2984763,cscigpu,132.241.1.14,33.87869191169739,1
0.34372,0.57276,0.45454,0.29508,1.19571,2.4241,1.77541,2,1741924397,,False,2,3a949_00001,2025-03-13_20-53-17,18.4490008354187,52.32769274711609,2984763,cscigpu,132.241.1.14,52.32769274711609,2
0.49074,0.64377,0.57663,0.39243,1.1673,1.89739,1.81694,3,1741924415,,False,3,3a949_00001,2025-03-13_20-53-35,17.902944564819336,70.23063731193542,2984763,cscigpu,132.241.1.14,70.23063731193542,3
0.47625,0.67501,0.61322,0.42986,1.06923,1.77182,1.6825,4,1741924433,,False,4,3a949_00001,2025-03-13_20-53-53,17.76847815513611,87.99911546707153,2984763,cscigpu,132.241.1.14,87.99911546707153,4
0.72855,0.67444,0.71074,0.51635,1.08402,1.54793,1.67381,5,1741924451,,False,5,3a949_00001,2025-03-13_20-54-11,17.805046558380127,105.80416202545166,2984763,cscigpu,132.241.1.14,105.80416202545166,5
0.68148,0.74004,0.75631,0.55477,1.01967,1.25422,1.59925,6,1741924468,,False,6,3a949_00001,2025-03-13_20-54-28,17.69559335708618,123.49975538253784,2984763,cscigpu,132.241.1.14,123.49975538253784,6
0.6995,0.70946,0.76438,0.55307,1.08828,1.30994,1.63983,7,1741924486,,False,7,3a949_00001,2025-03-13_20-54-46,17.843404054641724,141.34315943717957,2984763,cscigpu,132.241.1.14,141.34315943717957,7
0.78662,0.77462,0.8213,0.57837,1.09816,1.17834,1.68672,8,1741924504,,False,8,3a949_00001,2025-03-13_20-55-04,17.72021770477295,159.06337714195251,2984763,cscigpu,132.241.1.14,159.06337714195251,8
0.79611,0.82325,0.85309,0.62129,1.06424,1.0492,1.61233,9,1741924522,,False,9,3a949_00001,2025-03-13_20-55-22,18.229218244552612,177.29259538650513,2984763,cscigpu,132.241.1.14,177.29259538650513,9
0.83203,0.78107,0.86066,0.63806,1.01468,1.04143,1.57929,10,1741924540,,False,10,3a949_00001,2025-03-13_20-55-40,17.863295555114746,195.15589094161987,2984763,cscigpu,132.241.1.14,195.15589094161987,10
0.85025,0.81432,0.88832,0.62825,1.10461,1.01742,1.66233,11,1741924558,,False,11,3a949_00001,2025-03-13_20-55-58,17.746865034103394,212.90275597572327,2984763,cscigpu,132.241.1.14,212.90275597572327,11
0.86352,0.808,0.88585,0.67166,0.95868,0.91757,1.49822,12,1741924576,,False,12,3a949_00001,2025-03-13_20-56-16,17.738840341567993,230.64159631729126,2984763,cscigpu,132.241.1.14,230.64159631729126,12
0.85207,0.80635,0.89334,0.64919,1.03244,0.98392,1.61602,13,1741924593,,False,13,3a949_00001,2025-03-13_20-56-33,17.676570177078247,248.3181664943695,2984763,cscigpu,132.241.1.14,248.3181664943695,13
0.86301,0.83769,0.908,0.67256,0.98401,0.8658,1.53147,14,1741924611,,False,14,3a949_00001,2025-03-13_20-56-51,17.68333625793457,266.0015027523041,2984763,cscigpu,132.241.1.14,266.0015027523041,14
0.8829,0.82417,0.89805,0.67905,0.96103,0.8907,1.51802,15,1741924629,,False,15,3a949_00001,2025-03-13_20-57-09,17.641867876052856,283.64337062835693,2984763,cscigpu,132.241.1.14,283.64337062835693,15
0.90883,0.79909,0.89545,0.66441,1.01136,0.85661,1.55321,16,1741924646,,False,16,3a949_00001,2025-03-13_20-57-26,17.557965517044067,301.201336145401,2984763,cscigpu,132.241.1.14,301.201336145401,16
0.88334,0.83783,0.90859,0.67738,1.02161,0.84927,1.57648,17,1741924664,,False,17,3a949_00001,2025-03-13_20-57-44,17.65386176109314,318.85519790649414,2984763,cscigpu,132.241.1.14,318.85519790649414,17
0.86917,0.86552,0.91112,0.69581,0.92202,0.82636,1.47921,18,1741924681,,False,18,3a949_00001,2025-03-13_20-58-01,17.656074285507202,336.51127219200134,2984763,cscigpu,132.241.1.14,336.51127219200134,18
0.90599,0.87423,0.93058,0.6836,1.00311,0.78149,1.55601,19,1741924699,,False,19,3a949_00001,2025-03-13_20-58-19,17.64150595664978,354.1527781486511,2984763,cscigpu,132.241.1.14,354.1527781486511,19
0.89922,0.84411,0.91548,0.66904,1.05499,0.81171,1.61874,20,1741924717,,False,20,3a949_00001,2025-03-13_20-58-37,17.672126293182373,371.8249044418335,2984763,cscigpu,132.241.1.14,371.8249044418335,20
0.91868,0.83898,0.91436,0.67925,1.02565,0.76339,1.56623,21,1741924734,,False,21,3a949_00001,2025-03-13_20-58-54,17.60981297492981,389.4347174167633,2984763,cscigpu,132.241.1.14,389.4347174167633,21
0.8930983276755711,0.9014626543546629,0.9356513223629151,0.742295640343178,,,,21,1741924744,,False,22,3a949_00001,2025-03-13_20-59-04,9.450193405151367,398.8849108219147,2984763,cscigpu,132.241.1.14,398.8849108219147,22
