metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.26884,0.41171,0.18954,0.13601,1.06174,2.51765,1.29436,1,1741924779,,False,1,3a949_00002,2025-03-13_20-59-39,27.014167070388794,27.014167070388794,2992680,cscigpu,132.241.1.14,27.014167070388794,1
0.3422,0.59571,0.41999,0.3082,1.06122,2.04606,1.27167,2,1741924795,,False,2,3a949_00002,2025-03-13_20-59-55,15.787409543991089,42.80157661437988,2992680,cscigpu,132.241.1.14,42.80157661437988,2
0.46023,0.5535,0.52618,0.37843,1.07003,1.79954,1.26164,3,1741924811,,False,3,3a949_00002,2025-03-13_21-00-11,15.76060938835144,58.56218600273132,2992680,cscigpu,132.241.1.14,58.56218600273132,3
0.59594,0.67481,0.6691,0.49323,1.00639,1.44146,1.2085,4,1741924826,,False,4,3a949_00002,2025-03-13_21-00-26,15.26466178894043,73.82684779167175,2992680,cscigpu,132.241.1.14,73.82684779167175,4
0.68467,0.69623,0.71153,0.54773,0.88267,1.57782,1.14103,5,1741924841,,False,5,3a949_00002,2025-03-13_21-00-41,15.323814868927002,89.15066266059875,2992680,cscigpu,132.241.1.14,89.15066266059875,5
0.66507,0.75071,0.75211,0.56335,0.95961,1.29564,1.1697,6,1741924857,,False,6,3a949_00002,2025-03-13_21-00-57,15.417250871658325,104.56791353225708,2992680,cscigpu,132.241.1.14,104.56791353225708,6
0.80173,0.74105,0.81507,0.62263,0.93865,1.11685,1.1355,7,1741924872,,False,7,3a949_00002,2025-03-13_21-01-12,15.335045576095581,119.90295910835266,2992680,cscigpu,132.241.1.14,119.90295910835266,7
0.81253,0.76729,0.85023,0.62508,1.00162,1.0994,1.18474,8,1741924888,,False,8,3a949_00002,2025-03-13_21-01-28,15.688931226730347,135.591890335083,2992680,cscigpu,132.241.1.14,135.591890335083,8
0.78055,0.82664,0.85636,0.62294,1.0374,1.02463,1.17523,9,1741924903,,False,9,3a949_00002,2025-03-13_21-01-43,15.46553349494934,151.05742383003235,2992680,cscigpu,132.241.1.14,151.05742383003235,9
0.75652,0.79946,0.83332,0.6196,1.02413,1.07644,1.16857,10,1741924918,,False,10,3a949_00002,2025-03-13_21-01-58,15.42928695678711,166.48671078681946,2992680,cscigpu,132.241.1.14,166.48671078681946,10
0.83697,0.8746,0.89453,0.68194,0.93863,0.83156,1.13971,11,1741924934,,False,11,3a949_00002,2025-03-13_21-02-14,15.285768032073975,181.77247881889343,2992680,cscigpu,132.241.1.14,181.77247881889343,11
0.85013,0.81909,0.86861,0.68833,0.84152,0.93428,1.07222,12,1741924949,,False,12,3a949_00002,2025-03-13_21-02-29,15.217692136764526,196.99017095565796,2992680,cscigpu,132.241.1.14,196.99017095565796,12
0.89908,0.80626,0.89547,0.67149,0.98778,0.88526,1.14893,13,1741924965,,False,13,3a949_00002,2025-03-13_21-02-45,15.793556451797485,212.78372740745544,2992680,cscigpu,132.241.1.14,212.78372740745544,13
0.85423,0.79846,0.89463,0.66045,0.96595,0.90488,1.13987,14,1741924980,,False,14,3a949_00002,2025-03-13_21-03-00,15.216999769210815,228.00072717666626,2992680,cscigpu,132.241.1.14,228.00072717666626,14
0.91409,0.82191,0.9167,0.7245,0.85696,0.78874,1.08005,15,1741924995,,False,15,3a949_00002,2025-03-13_21-03-15,15.17203164100647,243.17275881767273,2992680,cscigpu,132.241.1.14,243.17275881767273,15
0.85698,0.83766,0.90191,0.7011,0.89259,0.80987,1.09857,16,1741925011,,False,16,3a949_00002,2025-03-13_21-03-31,15.451764822006226,258.62452363967896,2992680,cscigpu,132.241.1.14,258.62452363967896,16
0.86206,0.85601,0.9125,0.69589,0.96357,0.76433,1.12545,17,1741925026,,False,17,3a949_00002,2025-03-13_21-03-46,15.614151239395142,274.2386748790741,2992680,cscigpu,132.241.1.14,274.2386748790741,17
0.90205,0.82586,0.90546,0.69723,0.92933,0.76824,1.12433,18,1741925042,,False,18,3a949_00002,2025-03-13_21-04-02,15.70915699005127,289.94783186912537,2992680,cscigpu,132.241.1.14,289.94783186912537,18
0.8942917313118962,0.8788334251193705,0.9401557370159388,0.7361925312939677,,,,18,1741925050,,False,19,3a949_00002,2025-03-13_21-04-10,7.8494274616241455,297.7972593307495,2992680,cscigpu,132.241.1.14,297.7972593307495,19
