metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.04859,0.72963,0.09998,0.07725,0.99714,3.43624,1.20145,1,1741927106,,False,1,3a949_00009,2025-03-13_21-38-26,20.657002925872803,20.657002925872803,3044612,cscigpu,132.241.1.14,20.657002925872803,1
0.43578,0.29992,0.35657,0.26262,1.0173,2.51247,1.23431,2,1741927114,,False,2,3a949_00009,2025-03-13_21-38-34,8.402141571044922,29.059144496917725,3044612,cscigpu,132.241.1.14,29.059144496917725,2
0.41658,0.65856,0.56319,0.40688,1.05114,1.80881,1.24003,3,1741927122,,False,3,3a949_00009,2025-03-13_21-38-42,7.676286697387695,36.73543119430542,3044612,cscigpu,132.241.1.14,36.73543119430542,3
0.64265,0.63341,0.6904,0.50139,0.98991,1.49348,1.2074,4,1741927129,,False,4,3a949_00009,2025-03-13_21-38-49,7.355505704879761,44.09093689918518,3044612,cscigpu,132.241.1.14,44.09093689918518,4
0.69046,0.70903,0.76918,0.57457,0.96438,1.3135,1.16862,5,1741927137,,False,5,3a949_00009,2025-03-13_21-38-57,7.530014753341675,51.620951652526855,3044612,cscigpu,132.241.1.14,51.620951652526855,5
0.76418,0.74969,0.80987,0.62157,0.94926,1.09825,1.15102,6,1741927145,,False,6,3a949_00009,2025-03-13_21-39-05,7.493472576141357,59.11442422866821,3044612,cscigpu,132.241.1.14,59.11442422866821,6
0.79016,0.75157,0.82474,0.61252,1.02861,1.18265,1.16304,7,1741927152,,False,7,3a949_00009,2025-03-13_21-39-12,7.400339365005493,66.5147635936737,3044612,cscigpu,132.241.1.14,66.5147635936737,7
0.80078,0.7738,0.83948,0.60217,1.11111,1.14926,1.23527,8,1741927159,,False,8,3a949_00009,2025-03-13_21-39-19,7.382935285568237,73.89769887924194,3044612,cscigpu,132.241.1.14,73.89769887924194,8
0.82157,0.80204,0.85778,0.61915,1.10495,1.01255,1.20136,9,1741927167,,False,9,3a949_00009,2025-03-13_21-39-27,7.5069193840026855,81.40461826324463,3044612,cscigpu,132.241.1.14,81.40461826324463,9
0.85951,0.76839,0.85533,0.64575,1.02491,0.98729,1.17414,10,1741927174,,False,10,3a949_00009,2025-03-13_21-39-34,7.283797264099121,88.68841552734375,3044612,cscigpu,132.241.1.14,88.68841552734375,10
0.84645,0.78522,0.86686,0.65403,0.98271,0.9563,1.1517,11,1741927181,,False,11,3a949_00009,2025-03-13_21-39-41,7.257718324661255,95.946133852005,3044612,cscigpu,132.241.1.14,95.946133852005,11
0.87488,0.82541,0.9085,0.681,0.99762,0.8659,1.16471,12,1741927189,,False,12,3a949_00009,2025-03-13_21-39-49,7.417801856994629,103.36393570899963,3044612,cscigpu,132.241.1.14,103.36393570899963,12
0.83831,0.86801,0.90382,0.69303,0.93529,0.85154,1.12354,13,1741927196,,False,13,3a949_00009,2025-03-13_21-39-56,7.539313554763794,110.90324926376343,3044612,cscigpu,132.241.1.14,110.90324926376343,13
0.86762,0.8406,0.8947,0.66419,1.01516,0.87605,1.17247,14,1741927204,,False,14,3a949_00009,2025-03-13_21-40-04,7.397460222244263,118.30070948600769,3044612,cscigpu,132.241.1.14,118.30070948600769,14
0.83422,0.83129,0.91122,0.66826,1.02252,0.85521,1.17787,15,1741927211,,False,15,3a949_00009,2025-03-13_21-40-11,7.358652353286743,125.65936183929443,3044612,cscigpu,132.241.1.14,125.65936183929443,15
0.85953,0.84113,0.91224,0.68917,0.96389,0.84297,1.11595,16,1741927218,,False,16,3a949_00009,2025-03-13_21-40-18,7.347069025039673,133.0064308643341,3044612,cscigpu,132.241.1.14,133.0064308643341,16
0.8323987234462815,0.866747357829655,0.9122374127330417,0.7141509659681291,,,,16,1741927226,,False,17,3a949_00009,2025-03-13_21-40-26,7.714646816253662,140.72107768058777,3044612,cscigpu,132.241.1.14,140.72107768058777,17
