metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.24572,0.40829,0.22347,0.15361,1.13341,2.55323,1.63425,1,1741925712,,False,1,3a949_00005,2025-03-13_21-15-12,30.52123188972473,30.52123188972473,3012684,cscigpu,132.241.1.14,30.52123188972473,1
0.39743,0.58468,0.49903,0.34957,1.0941,2.28305,1.57629,2,1741925730,,False,2,3a949_00005,2025-03-13_21-15-30,18.273013591766357,48.79424548149109,3012684,cscigpu,132.241.1.14,48.79424548149109,2
0.48356,0.62149,0.58591,0.41776,1.10674,1.69097,1.57464,3,1741925748,,False,3,3a949_00005,2025-03-13_21-15-48,17.701221466064453,66.49546694755554,3012684,cscigpu,132.241.1.14,66.49546694755554,3
0.69169,0.59427,0.7035,0.51067,1.07356,1.60183,1.49365,4,1741925765,,False,4,3a949_00005,2025-03-13_21-16-05,17.566145420074463,84.06161236763,3012684,cscigpu,132.241.1.14,84.06161236763,4
0.72918,0.72517,0.76827,0.57902,0.9632,1.38339,1.44011,5,1741925783,,False,5,3a949_00005,2025-03-13_21-16-23,17.50088667869568,101.56249904632568,3012684,cscigpu,132.241.1.14,101.56249904632568,5
0.66994,0.75077,0.77083,0.5915,0.91695,1.35758,1.37108,6,1741925800,,False,6,3a949_00005,2025-03-13_21-16-40,17.723145008087158,119.28564405441284,3012684,cscigpu,132.241.1.14,119.28564405441284,6
0.67466,0.76043,0.78261,0.57781,1.03834,1.22539,1.48377,7,1741925818,,False,7,3a949_00005,2025-03-13_21-16-58,17.67217206954956,136.9578161239624,3012684,cscigpu,132.241.1.14,136.9578161239624,7
0.85502,0.77678,0.85237,0.62842,1.01169,1.06664,1.44156,8,1741925836,,False,8,3a949_00005,2025-03-13_21-17-16,17.63472843170166,154.59254455566406,3012684,cscigpu,132.241.1.14,154.59254455566406,8
0.78559,0.81859,0.85972,0.61345,1.11667,1.07778,1.52813,9,1741925853,,False,9,3a949_00005,2025-03-13_21-17-33,17.545653581619263,172.13819813728333,3012684,cscigpu,132.241.1.14,172.13819813728333,9
0.86634,0.7686,0.87442,0.64872,1.02673,0.98479,1.43313,10,1741925871,,False,10,3a949_00005,2025-03-13_21-17-51,17.776808738708496,189.91500687599182,3012684,cscigpu,132.241.1.14,189.91500687599182,10
0.82851,0.84495,0.88329,0.65656,1.00756,0.93966,1.43809,11,1741925889,,False,11,3a949_00005,2025-03-13_21-18-09,17.863163232803345,207.77817010879517,3012684,cscigpu,132.241.1.14,207.77817010879517,11
0.80323,0.82248,0.86355,0.66034,0.95389,0.97901,1.37219,12,1741925907,,False,12,3a949_00005,2025-03-13_21-18-27,17.680179119110107,225.45834922790527,3012684,cscigpu,132.241.1.14,225.45834922790527,12
0.93811,0.79381,0.91089,0.6712,1.01899,0.88336,1.44556,13,1741925924,,False,13,3a949_00005,2025-03-13_21-18-44,17.664012908935547,243.12236213684082,3012684,cscigpu,132.241.1.14,243.12236213684082,13
0.85954,0.83562,0.89942,0.66046,0.98813,0.89324,1.398,14,1741925942,,False,14,3a949_00005,2025-03-13_21-19-02,17.757946491241455,260.8803086280823,3012684,cscigpu,132.241.1.14,260.8803086280823,14
0.91287,0.86417,0.91589,0.71604,0.88517,0.80952,1.3282,15,1741925960,,False,15,3a949_00005,2025-03-13_21-19-20,17.660866260528564,278.54117488861084,3012684,cscigpu,132.241.1.14,278.54117488861084,15
0.90555,0.84926,0.92062,0.71402,0.91195,0.80243,1.34309,16,1741925977,,False,16,3a949_00005,2025-03-13_21-19-37,17.458261489868164,295.999436378479,3012684,cscigpu,132.241.1.14,295.999436378479,16
0.87614,0.8434,0.90359,0.69187,0.95354,0.83503,1.38601,17,1741925995,,False,17,3a949_00005,2025-03-13_21-19-55,17.68310523033142,313.6825416088104,3012684,cscigpu,132.241.1.14,313.6825416088104,17
0.88339,0.87793,0.9117,0.69687,0.95197,0.79184,1.38443,18,1741926012,,False,18,3a949_00005,2025-03-13_21-20-12,17.61336898803711,331.29591059684753,3012684,cscigpu,132.241.1.14,331.29591059684753,18
0.923499835703551,0.8557646012301156,0.9374440697843154,0.7442727275210514,,,,18,1741926021,,False,19,3a949_00005,2025-03-13_21-20-21,8.68142819404602,339.97733879089355,3012684,cscigpu,132.241.1.14,339.97733879089355,19
