epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8438,1.19387,6.08857,1.742,0.28917,0.28325,0.17401,0.1135,1.11442,2.99427,1.7633,0.000131783,0.000131783,0.000131783
2,39.1592,1.10294,4.9915,1.63078,0.34372,0.57276,0.45454,0.29508,1.19571,2.4241,1.77541,0.000259867,0.000259867,0.000259867
3,56.9638,1.05973,4.22961,1.561,0.49074,0.64377,0.57663,0.39243,1.1673,1.89739,1.81694,0.000382671,0.000382671,0.000382671
4,74.6548,1.03695,3.64095,1.52261,0.47625,0.67501,0.61322,0.42986,1.06923,1.77182,1.6825,0.00037624,0.00037624,0.00037624
5,92.2899,1.00516,3.19565,1.47774,0.72855,0.67444,0.71074,0.51635,1.08402,1.54793,1.67381,0.00036832,0.00036832,0.00036832
6,109.904,0.98665,2.82012,1.46468,0.68148,0.74004,0.75631,0.55477,1.01967,1.25422,1.59925,0.0003604,0.0003604,0.0003604
7,127.465,0.9642,2.55906,1.44875,0.6995,0.70946,0.76438,0.55307,1.08828,1.30994,1.63983,0.00035248,0.00035248,0.00035248
8,144.98,0.96566,2.32167,1.44397,0.78662,0.77462,0.8213,0.57837,1.09816,1.17834,1.68672,0.00034456,0.00034456,0.00034456
9,162.602,0.91846,2.03055,1.39223,0.79611,0.82325,0.85309,0.62129,1.06424,1.0492,1.61233,0.00033664,0.00033664,0.00033664
10,180.143,0.93147,1.95758,1.42693,0.83203,0.78107,0.86066,0.63806,1.01468,1.04143,1.57929,0.00032872,0.00032872,0.00032872
11,197.687,0.90581,1.7742,1.39501,0.85025,0.81432,0.88832,0.62825,1.10461,1.01742,1.66233,0.0003208,0.0003208,0.0003208
12,215.191,0.91937,1.68151,1.39894,0.86352,0.808,0.88585,0.67166,0.95868,0.91757,1.49822,0.00031288,0.00031288,0.00031288
13,232.654,0.9178,1.58323,1.39235,0.85207,0.80635,0.89334,0.64919,1.03244,0.98392,1.61602,0.00030496,0.00030496,0.00030496
14,250.094,0.91545,1.50361,1.38317,0.86301,0.83769,0.908,0.67256,0.98401,0.8658,1.53147,0.00029704,0.00029704,0.00029704
15,267.554,0.88933,1.41323,1.36093,0.8829,0.82417,0.89805,0.67905,0.96103,0.8907,1.51802,0.00028912,0.00028912,0.00028912
16,284.987,0.88331,1.34091,1.36029,0.90883,0.79909,0.89545,0.66441,1.01136,0.85661,1.55321,0.0002812,0.0002812,0.0002812
17,302.491,0.8508,1.25154,1.33621,0.88334,0.83783,0.90859,0.67738,1.02161,0.84927,1.57648,0.00027328,0.00027328,0.00027328
18,319.974,0.86203,1.23731,1.35237,0.86917,0.86552,0.91112,0.69581,0.92202,0.82636,1.47921,0.00026536,0.00026536,0.00026536
19,337.582,0.84465,1.1751,1.32958,0.90599,0.87423,0.93058,0.6836,1.00311,0.78149,1.55601,0.00025744,0.00025744,0.00025744
20,355.488,0.85013,1.13822,1.33441,0.89922,0.84411,0.91548,0.66904,1.05499,0.81171,1.61874,0.00024952,0.00024952,0.00024952
21,373.207,0.83706,1.12159,1.33936,0.91868,0.83898,0.91436,0.67925,1.02565,0.76339,1.56623,0.0002416,0.0002416,0.0002416
