metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.28917,0.28325,0.17401,0.1135,1.11442,2.99427,1.7633,1,1741927719,,False,1,3a949_00012,2025-03-13_21-48-39,33.89604640007019,33.89604640007019,3058853,cscigpu,132.241.1.14,33.89604640007019,1
0.34372,0.57276,0.45454,0.29508,1.19571,2.4241,1.77541,2,1741927738,,False,2,3a949_00012,2025-03-13_21-48-58,18.583113431930542,52.47915983200073,3058853,cscigpu,132.241.1.14,52.47915983200073,2
0.49074,0.64377,0.57663,0.39243,1.1673,1.89739,1.81694,3,1741927756,,False,3,3a949_00012,2025-03-13_21-49-16,17.99308705329895,70.47224688529968,3058853,cscigpu,132.241.1.14,70.47224688529968,3
0.47625,0.67501,0.61322,0.42986,1.06923,1.77182,1.6825,4,1741927774,,False,4,3a949_00012,2025-03-13_21-49-34,17.839957237243652,88.31220412254333,3058853,cscigpu,132.241.1.14,88.31220412254333,4
0.72855,0.67444,0.71074,0.51635,1.08402,1.54793,1.67381,5,1741927792,,False,5,3a949_00012,2025-03-13_21-49-52,17.90276861190796,106.2149727344513,3058853,cscigpu,132.241.1.14,106.2149727344513,5
0.68148,0.74004,0.75631,0.55477,1.01967,1.25422,1.59925,6,1741927809,,False,6,3a949_00012,2025-03-13_21-50-09,17.80872416496277,124.02369689941406,3058853,cscigpu,132.241.1.14,124.02369689941406,6
0.6995,0.70946,0.76438,0.55307,1.08828,1.30994,1.63983,7,1741927827,,False,7,3a949_00012,2025-03-13_21-50-27,17.887446880340576,141.91114377975464,3058853,cscigpu,132.241.1.14,141.91114377975464,7
0.78662,0.77462,0.8213,0.57837,1.09816,1.17834,1.68672,8,1741927845,,False,8,3a949_00012,2025-03-13_21-50-45,17.849154472351074,159.7602982521057,3058853,cscigpu,132.241.1.14,159.7602982521057,8
0.79611,0.82325,0.85309,0.62129,1.06424,1.0492,1.61233,9,1741927863,,False,9,3a949_00012,2025-03-13_21-51-03,17.936173915863037,177.69647216796875,3058853,cscigpu,132.241.1.14,177.69647216796875,9
0.83203,0.78107,0.86066,0.63806,1.01468,1.04143,1.57929,10,1741927881,,False,10,3a949_00012,2025-03-13_21-51-21,17.79405689239502,195.49052906036377,3058853,cscigpu,132.241.1.14,195.49052906036377,10
0.85025,0.81432,0.88832,0.62825,1.10461,1.01742,1.66233,11,1741927899,,False,11,3a949_00012,2025-03-13_21-51-39,17.72130584716797,213.21183490753174,3058853,cscigpu,132.241.1.14,213.21183490753174,11
0.86352,0.808,0.88585,0.67166,0.95868,0.91757,1.49822,12,1741927916,,False,12,3a949_00012,2025-03-13_21-51-56,17.77454400062561,230.98637890815735,3058853,cscigpu,132.241.1.14,230.98637890815735,12
0.85207,0.80635,0.89334,0.64919,1.03244,0.98392,1.61602,13,1741927934,,False,13,3a949_00012,2025-03-13_21-52-14,17.698983192443848,248.6853621006012,3058853,cscigpu,132.241.1.14,248.6853621006012,13
0.86301,0.83769,0.908,0.67256,0.98401,0.8658,1.53147,14,1741927952,,False,14,3a949_00012,2025-03-13_21-52-32,17.752251863479614,266.4376139640808,3058853,cscigpu,132.241.1.14,266.4376139640808,14
0.8829,0.82417,0.89805,0.67905,0.96103,0.8907,1.51802,15,1741927970,,False,15,3a949_00012,2025-03-13_21-52-50,17.75577187538147,284.1933858394623,3058853,cscigpu,132.241.1.14,284.1933858394623,15
0.90883,0.79909,0.89545,0.66441,1.01136,0.85661,1.55321,16,1741927987,,False,16,3a949_00012,2025-03-13_21-53-07,17.688177347183228,301.8815631866455,3058853,cscigpu,132.241.1.14,301.8815631866455,16
0.88334,0.83783,0.90859,0.67738,1.02161,0.84927,1.57648,17,1741928005,,False,17,3a949_00012,2025-03-13_21-53-25,17.7085280418396,319.5900912284851,3058853,cscigpu,132.241.1.14,319.5900912284851,17
0.86917,0.86552,0.91112,0.69581,0.92202,0.82636,1.47921,18,1741928023,,False,18,3a949_00012,2025-03-13_21-53-43,17.71994113922119,337.3100323677063,3058853,cscigpu,132.241.1.14,337.3100323677063,18
0.90599,0.87423,0.93058,0.6836,1.00311,0.78149,1.55601,19,1741928040,,False,19,3a949_00012,2025-03-13_21-54-00,17.693997144699097,355.0040295124054,3058853,cscigpu,132.241.1.14,355.0040295124054,19
0.89922,0.84411,0.91548,0.66904,1.05499,0.81171,1.61874,20,1741928058,,False,20,3a949_00012,2025-03-13_21-54-18,17.61525321006775,372.61928272247314,3058853,cscigpu,132.241.1.14,372.61928272247314,20
0.91868,0.83898,0.91436,0.67925,1.02565,0.76339,1.56623,21,1741928076,,False,21,3a949_00012,2025-03-13_21-54-36,17.661962747573853,390.281245470047,3058853,cscigpu,132.241.1.14,390.281245470047,21
0.8930983276755711,0.9014626543546629,0.9356513223629151,0.742295640343178,,,,21,1741928085,,False,22,3a949_00012,2025-03-13_21-54-45,9.695237159729004,399.976482629776,3058853,cscigpu,132.241.1.14,399.976482629776,22
