metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.33154,0.22958,0.17183,0.11966,1.08696,2.87189,1.5797,1,1741926530,,False,1,3a949_00007,2025-03-13_21-28-50,35.832892417907715,35.832892417907715,3031077,cscigpu,132.241.1.14,35.832892417907715,1
0.40463,0.49138,0.4434,0.29905,1.12718,2.09364,1.58129,2,1741926550,,False,2,3a949_00007,2025-03-13_21-29-10,19.41338801383972,55.24628043174744,3031077,cscigpu,132.241.1.14,55.24628043174744,2
0.47589,0.6283,0.58693,0.4058,1.10863,1.73807,1.61091,3,1741926570,,False,3,3a949_00007,2025-03-13_21-29-30,20.686680793762207,75.93296122550964,3031077,cscigpu,132.241.1.14,75.93296122550964,3
0.57487,0.69674,0.67547,0.49206,1.02106,1.52023,1.46388,4,1741926591,,False,4,3a949_00007,2025-03-13_21-29-51,20.374537467956543,96.30749869346619,3031077,cscigpu,132.241.1.14,96.30749869346619,4
0.72357,0.71386,0.75383,0.55925,0.97819,1.29656,1.4267,5,1741926610,,False,5,3a949_00007,2025-03-13_21-30-10,19.042301893234253,115.34980058670044,3031077,cscigpu,132.241.1.14,115.34980058670044,5
0.68104,0.76116,0.78721,0.59307,0.97767,1.21357,1.42593,6,1741926630,,False,6,3a949_00007,2025-03-13_21-30-30,20.358461380004883,135.70826196670532,3031077,cscigpu,132.241.1.14,135.70826196670532,6
0.79006,0.76717,0.83895,0.61653,1.04629,1.06411,1.46922,7,1741926651,,False,7,3a949_00007,2025-03-13_21-30-51,20.784207582473755,156.49246954917908,3031077,cscigpu,132.241.1.14,156.49246954917908,7
0.79457,0.77766,0.8479,0.60297,1.13209,1.04196,1.56175,8,1741926671,,False,8,3a949_00007,2025-03-13_21-31-11,19.69518756866455,176.18765711784363,3031077,cscigpu,132.241.1.14,176.18765711784363,8
0.81635,0.78117,0.84971,0.59486,1.13489,1.0333,1.53612,9,1741926691,,False,9,3a949_00007,2025-03-13_21-31-31,20.04177236557007,196.2294294834137,3031077,cscigpu,132.241.1.14,196.2294294834137,9
0.7786,0.80206,0.86337,0.64953,0.99768,1.04221,1.4108,10,1741926711,,False,10,3a949_00007,2025-03-13_21-31-51,20.226431131362915,216.4558606147766,3031077,cscigpu,132.241.1.14,216.4558606147766,10
0.88794,0.79814,0.88795,0.677,0.93717,0.92452,1.3457,11,1741926731,,False,11,3a949_00007,2025-03-13_21-32-11,20.168254375457764,236.62411499023438,3031077,cscigpu,132.241.1.14,236.62411499023438,11
0.8336,0.82021,0.88156,0.67454,0.91581,0.91344,1.34922,12,1741926751,,False,12,3a949_00007,2025-03-13_21-32-31,19.49301028251648,256.11712527275085,3031077,cscigpu,132.241.1.14,256.11712527275085,12
0.84291,0.83167,0.88743,0.66276,1.01821,0.89072,1.41416,13,1741926771,,False,13,3a949_00007,2025-03-13_21-32-51,20.149044036865234,276.2661693096161,3031077,cscigpu,132.241.1.14,276.2661693096161,13
0.85786,0.84597,0.88908,0.65283,1.02869,0.8881,1.44801,14,1741926791,,False,14,3a949_00007,2025-03-13_21-33-11,20.0530948638916,296.3192641735077,3031077,cscigpu,132.241.1.14,296.3192641735077,14
0.8468862892786045,0.8365202428323677,0.887277217380649,0.6871213699007029,,,,14,1741926802,,False,15,3a949_00007,2025-03-13_21-33-22,11.024759769439697,307.3440239429474,3031077,cscigpu,132.241.1.14,307.3440239429474,15
