epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.199,1.08728,5.08405,1.53061,0.24572,0.40829,0.22347,0.15361,1.13341,2.55323,1.63425,0.000132558,0.000132558,0.000132558
2,63.9144,1.05971,4.01703,1.458,0.39743,0.58468,0.49903,0.34957,1.0941,2.28305,1.57629,0.000260627,0.000260627,0.000260627
3,93.5585,1.04261,3.35725,1.41227,0.48356,0.62149,0.58591,0.41776,1.10674,1.69097,1.57464,0.000383416,0.000383416,0.000383416
4,123.759,1.02014,2.94215,1.40411,0.69169,0.59427,0.7035,0.51067,1.07356,1.60183,1.49365,0.00037624,0.00037624,0.00037624
5,150.558,0.97122,2.57699,1.34366,0.72918,0.72517,0.76827,0.57902,0.9632,1.38339,1.44011,0.00036832,0.00036832,0.00036832
6,181.007,0.96605,2.29237,1.34855,0.66994,0.75077,0.77083,0.5915,0.91695,1.35758,1.37108,0.0003604,0.0003604,0.0003604
7,208.902,0.93365,2.11795,1.33356,0.67466,0.76043,0.78261,0.57781,1.03834,1.22539,1.48377,0.00035248,0.00035248,0.00035248
8,238.073,0.94172,1.90793,1.31396,0.85502,0.77678,0.85237,0.62842,1.01169,1.06664,1.44156,0.00034456,0.00034456,0.00034456
9,267.791,0.90709,1.7238,1.28941,0.78559,0.81859,0.85972,0.61345,1.11667,1.07778,1.52813,0.00033664,0.00033664,0.00033664
10,294.183,0.91698,1.66509,1.30015,0.86634,0.7686,0.87442,0.64872,1.02673,0.98479,1.43313,0.00032872,0.00032872,0.00032872
11,323.844,0.9059,1.54022,1.29146,0.82851,0.84495,0.88329,0.65656,1.00756,0.93966,1.43809,0.0003208,0.0003208,0.0003208
12,352.545,0.88909,1.45118,1.28739,0.80323,0.82248,0.86355,0.66034,0.95389,0.97901,1.37219,0.00031288,0.00031288,0.00031288
13,381.257,0.88112,1.40894,1.26808,0.93811,0.79381,0.91089,0.6712,1.01899,0.88336,1.44556,0.00030496,0.00030496,0.00030496
14,410.781,0.87588,1.34521,1.266,0.85954,0.83562,0.89942,0.66046,0.98813,0.89324,1.398,0.00029704,0.00029704,0.00029704
15,436.433,0.87048,1.27774,1.27213,0.91287,0.86417,0.91589,0.71604,0.88517,0.80952,1.3282,0.00028912,0.00028912,0.00028912
16,466.144,0.85625,1.19277,1.2467,0.90555,0.84926,0.92062,0.71402,0.91195,0.80243,1.34309,0.0002812,0.0002812,0.0002812
17,495.235,0.8586,1.18022,1.25242,0.87614,0.8434,0.90359,0.69187,0.95354,0.83503,1.38601,0.00027328,0.00027328,0.00027328
18,522.934,0.8447,1.13102,1.25112,0.88339,0.87793,0.9117,0.69687,0.95197,0.79184,1.38443,0.00026536,0.00026536,0.00026536
