metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.27905,0.36838,0.20302,0.13405,1.25981,2.72619,1.90419,1,1741926064,,False,1,3a949_00006,2025-03-13_21-21-04,35.10631775856018,35.10631775856018,3020338,cscigpu,132.241.1.14,35.10631775856018,1
0.34361,0.56836,0.44912,0.30226,1.19539,2.09686,1.8105,2,1741926085,,False,2,3a949_00006,2025-03-13_21-21-25,21.263594388961792,56.36991214752197,3020338,cscigpu,132.241.1.14,56.36991214752197,2
0.49847,0.53919,0.56822,0.37753,1.23544,1.90355,1.86921,3,1741926106,,False,3,3a949_00006,2025-03-13_21-21-46,20.94949197769165,77.31940412521362,3020338,cscigpu,132.241.1.14,77.31940412521362,3
0.57792,0.65249,0.65171,0.451,1.15413,1.83297,1.73854,4,1741926127,,False,4,3a949_00006,2025-03-13_21-22-07,20.90336322784424,98.22276735305786,3020338,cscigpu,132.241.1.14,98.22276735305786,4
0.59608,0.65657,0.67535,0.4926,1.05699,1.54367,1.65342,5,1741926148,,False,5,3a949_00006,2025-03-13_21-22-28,20.614299535751343,118.8370668888092,3020338,cscigpu,132.241.1.14,118.8370668888092,5
0.64512,0.74411,0.71924,0.53515,1.01573,1.33618,1.59795,6,1741926169,,False,6,3a949_00006,2025-03-13_21-22-49,21.00258493423462,139.83965182304382,3020338,cscigpu,132.241.1.14,139.83965182304382,6
0.67488,0.77704,0.77512,0.55662,1.10967,1.31802,1.6791,7,1741926190,,False,7,3a949_00006,2025-03-13_21-23-10,20.717910289764404,160.55756211280823,3020338,cscigpu,132.241.1.14,160.55756211280823,7
0.70306,0.79405,0.81783,0.59646,1.06426,1.19601,1.64297,8,1741926210,,False,8,3a949_00006,2025-03-13_21-23-30,20.65124225616455,181.20880436897278,3020338,cscigpu,132.241.1.14,181.20880436897278,8
0.81446,0.78037,0.85449,0.61785,1.08345,1.10144,1.69297,9,1741926231,,False,9,3a949_00006,2025-03-13_21-23-51,20.70620083808899,201.91500520706177,3020338,cscigpu,132.241.1.14,201.91500520706177,9
0.7911,0.80048,0.84259,0.61337,1.10188,1.13806,1.67365,10,1741926252,,False,10,3a949_00006,2025-03-13_21-24-12,20.629767656326294,222.54477286338806,3020338,cscigpu,132.241.1.14,222.54477286338806,10
0.83231,0.81414,0.88319,0.64633,1.06249,1.05321,1.62435,11,1741926272,,False,11,3a949_00006,2025-03-13_21-24-32,20.65691065788269,243.20168352127075,3020338,cscigpu,132.241.1.14,243.20168352127075,11
0.87591,0.78599,0.87972,0.68102,0.92337,1.00465,1.47491,12,1741926293,,False,12,3a949_00006,2025-03-13_21-24-53,20.7204270362854,263.92211055755615,3020338,cscigpu,132.241.1.14,263.92211055755615,12
0.86842,0.86017,0.90141,0.66648,1.01661,0.94766,1.58971,13,1741926314,,False,13,3a949_00006,2025-03-13_21-25-14,20.499111652374268,284.4212222099304,3020338,cscigpu,132.241.1.14,284.4212222099304,13
0.88154,0.8299,0.89346,0.65504,1.05387,0.93088,1.64133,14,1741926334,,False,14,3a949_00006,2025-03-13_21-25-34,20.758315324783325,305.17953753471375,3020338,cscigpu,132.241.1.14,305.17953753471375,14
0.84431,0.84275,0.89178,0.68011,0.95206,0.99329,1.52609,15,1741926357,,False,15,3a949_00006,2025-03-13_21-25-57,22.344985723495483,327.52452325820923,3020338,cscigpu,132.241.1.14,327.52452325820923,15
0.87504,0.82665,0.90062,0.68537,0.95817,0.91465,1.54048,16,1741926384,,False,16,3a949_00006,2025-03-13_21-26-24,26.808350563049316,354.33287382125854,3020338,cscigpu,132.241.1.14,354.33287382125854,16
0.8729,0.84655,0.90298,0.66923,1.03965,0.89167,1.5976,17,1741926414,,False,17,3a949_00006,2025-03-13_21-26-54,30.394352674484253,384.7272264957428,3020338,cscigpu,132.241.1.14,384.7272264957428,17
0.89874,0.85123,0.90693,0.66971,1.03173,0.87783,1.61418,18,1741926443,,False,18,3a949_00006,2025-03-13_21-27-23,29.3279972076416,414.0552237033844,3020338,cscigpu,132.241.1.14,414.0552237033844,18
0.92,0.87047,0.92124,0.67596,1.02063,0.80813,1.5709,19,1741926473,,False,19,3a949_00006,2025-03-13_21-27-53,30.20596408843994,444.26118779182434,3020338,cscigpu,132.241.1.14,444.26118779182434,19
0.8572437046825345,0.8852893953372156,0.9241902198849639,0.7125021480628819,,,,19,1741926486,,False,20,3a949_00006,2025-03-13_21-28-06,12.848327159881592,457.10951495170593,3020338,cscigpu,132.241.1.14,457.10951495170593,20
