metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.26884,0.41171,0.18954,0.13601,1.06174,2.51765,1.29436,1,1741927261,,False,1,3a949_00010,2025-03-13_21-41-01,27.664479732513428,27.664479732513428,3048306,cscigpu,132.241.1.14,27.664479732513428,1
0.3422,0.59571,0.41999,0.3082,1.06122,2.04606,1.27167,2,1741927277,,False,2,3a949_00010,2025-03-13_21-41-17,16.184462547302246,43.848942279815674,3048306,cscigpu,132.241.1.14,43.848942279815674,2
0.46023,0.5535,0.52618,0.37843,1.07003,1.79954,1.26164,3,1741927293,,False,3,3a949_00010,2025-03-13_21-41-33,15.94986605644226,59.798808336257935,3048306,cscigpu,132.241.1.14,59.798808336257935,3
0.59594,0.67481,0.6691,0.49323,1.00639,1.44146,1.2085,4,1741927309,,False,4,3a949_00010,2025-03-13_21-41-49,15.741234064102173,75.54004240036011,3048306,cscigpu,132.241.1.14,75.54004240036011,4
0.68467,0.69623,0.71153,0.54773,0.88267,1.57782,1.14103,5,1741927325,,False,5,3a949_00010,2025-03-13_21-42-05,15.704649686813354,91.24469208717346,3048306,cscigpu,132.241.1.14,91.24469208717346,5
0.66507,0.75071,0.75211,0.56335,0.95961,1.29564,1.1697,6,1741927341,,False,6,3a949_00010,2025-03-13_21-42-21,16.058605194091797,107.30329728126526,3048306,cscigpu,132.241.1.14,107.30329728126526,6
0.80173,0.74105,0.81507,0.62263,0.93865,1.11685,1.1355,7,1741927356,,False,7,3a949_00010,2025-03-13_21-42-36,15.62032437324524,122.9236216545105,3048306,cscigpu,132.241.1.14,122.9236216545105,7
0.81253,0.76729,0.85023,0.62508,1.00162,1.0994,1.18474,8,1741927372,,False,8,3a949_00010,2025-03-13_21-42-52,15.227511405944824,138.15113306045532,3048306,cscigpu,132.241.1.14,138.15113306045532,8
0.78055,0.82664,0.85636,0.62294,1.0374,1.02463,1.17523,9,1741927387,,False,9,3a949_00010,2025-03-13_21-43-07,15.52657699584961,153.67771005630493,3048306,cscigpu,132.241.1.14,153.67771005630493,9
0.75652,0.79946,0.83332,0.6196,1.02413,1.07644,1.16857,10,1741927402,,False,10,3a949_00010,2025-03-13_21-43-22,15.397752285003662,169.0754623413086,3048306,cscigpu,132.241.1.14,169.0754623413086,10
0.83697,0.8746,0.89453,0.68194,0.93863,0.83156,1.13971,11,1741927418,,False,11,3a949_00010,2025-03-13_21-43-38,15.477547407150269,184.55300974845886,3048306,cscigpu,132.241.1.14,184.55300974845886,11
0.85013,0.81909,0.86861,0.68833,0.84152,0.93428,1.07222,12,1741927433,,False,12,3a949_00010,2025-03-13_21-43-53,15.457335233688354,200.01034498214722,3048306,cscigpu,132.241.1.14,200.01034498214722,12
0.89908,0.80626,0.89547,0.67149,0.98778,0.88526,1.14893,13,1741927449,,False,13,3a949_00010,2025-03-13_21-44-09,15.825113773345947,215.83545875549316,3048306,cscigpu,132.241.1.14,215.83545875549316,13
0.85423,0.79846,0.89463,0.66045,0.96595,0.90488,1.13987,14,1741927465,,False,14,3a949_00010,2025-03-13_21-44-25,15.494707584381104,231.33016633987427,3048306,cscigpu,132.241.1.14,231.33016633987427,14
0.91409,0.82191,0.9167,0.7245,0.85696,0.78874,1.08005,15,1741927480,,False,15,3a949_00010,2025-03-13_21-44-40,15.72184705734253,247.0520133972168,3048306,cscigpu,132.241.1.14,247.0520133972168,15
0.85698,0.83766,0.90191,0.7011,0.89259,0.80987,1.09857,16,1741927496,,False,16,3a949_00010,2025-03-13_21-44-56,15.728498697280884,262.7805120944977,3048306,cscigpu,132.241.1.14,262.7805120944977,16
0.86206,0.85601,0.9125,0.69589,0.96357,0.76433,1.12545,17,1741927511,,False,17,3a949_00010,2025-03-13_21-45-11,15.142285823822021,277.9227979183197,3048306,cscigpu,132.241.1.14,277.9227979183197,17
0.90205,0.82586,0.90546,0.69723,0.92933,0.76824,1.12433,18,1741927527,,False,18,3a949_00010,2025-03-13_21-45-27,15.347800970077515,293.2705988883972,3048306,cscigpu,132.241.1.14,293.2705988883972,18
0.8942917313118962,0.8788334251193705,0.9401557370159388,0.7361925312939677,,,,18,1741927534,,False,19,3a949_00010,2025-03-13_21-45-34,7.79577112197876,301.066370010376,3048306,cscigpu,132.241.1.14,301.066370010376,19
